Jogador,Time,Posição,Preço (C$),Média (pts),Variação última (C$),Jogos
Rafael Coutinho,Palmeiras,Meia,1.0,0.0,0.0,0
Raphael Veiga,Palmeiras,Meia,10.89,2.25,0.0,10
Abel Ferreira,Palmeiras,Técnico,11.86,6.5,-0.86,20
Benedetti,Palmeiras,Zagueiro,2.61,1.6,0.0,2
Bruno Fuchs,Palmeiras,Zagueiro,7.12,4.82,-0.84,12
Gustavo Gómez,Palmeiras,Zagueiro,8.77,4.94,-2.01,16
Micael,Palmeiras,Zagueiro,4.18,2.19,0.0,9
Murilo,Palmeiras,Zagueiro,7.53,3.5,-0.75,7
Caballero,Santos,Atacante,6.26,4.0,0.3,6
Guilherme,Santos,Atacante,9.4,6.87,-0.96,15
Lautaro Díaz,Santos,Atacante,3.07,0.2,0.0,6
Padula,Santos,Atacante,1.0,0.0,0.0,0
Robinho Jr.,Santos,Atacante,2.59,1.6,0.0,3
Tiquinho Soares,Santos,Atacante,7.4,2.85,-0.04,17
Diógenes,Santos,Goleiro,2.0,0.0,0.0,0
Gabriel Brazão,Santos,Goleiro,6.99,4.7,0.67,21
Escobar,Santos,Lateral,9.63,4.96,0.96,19
Igor Vinícius,Santos,Lateral,7.25,3.24,1.36,9
JP Chermont,Santos,Lateral,6.05,4.28,0.0,5
Mayke,Santos,Lateral,7.75,3.29,1.08,8
Souza,Santos,Lateral,7.37,4.86,0.0,11
Vinicius Lira,Santos,Lateral,3.0,0.0,0.0,0
Barreal,Santos,Meia,9.66,6.29,-0.41,18
Gabriel Bontempo,Santos,Meia,5.32,3.18,0.0,18
Gustavo Henrique,Santos,Meia,1.0,0.0,0.0,0
Hyan,Santos,Meia,1.19,0.7,0.0,2
João Schmidt,Santos,Meia,4.73,1.96,0.51,15
Mateus Xavier,Santos,Meia,1.0,0.5,0.0,3
Miguelito,Santos,Meia,3.0,0.0,0.0,0
Neymar,Santos,Meia,14.39,5.0,0.19,12
Rincón,Santos,Meia,3.46,0.96,0.4,13
Rollheiser,Santos,Meia,6.84,2.29,1.09,20
Thaciano,Santos,Meia,5.1,2.16,0.0,11
Victor Hugo,Santos,Meia,4.23,1.5,0.0,1
Willian Arão,Santos,Meia,7.19,-0.3,0.0,1
Zé Rafael,Santos,Meia,7.6,3.57,0.34,12
Juan Vojvoda,Santos,Técnico,10.57,5.21,0.59,13
Adonis Frías,Santos,Zagueiro,6.0,0.0,0.0,0
Alexis Duarte,Santos,Zagueiro,6.0,0.0,0.0,0
João Alencar,Santos,Zagueiro,1.0,0.0,0.0,0
João Ananias,Santos,Zagueiro,1.0,0.0,0.0,0
João Basso,Santos,Zagueiro,7.74,4.42,0.0,6
Luan Peres,Santos,Zagueiro,5.57,2.5,0.85,13
Luisão,Santos,Zagueiro,4.78,2.45,0.0,6
Zé Ivaldo,Santos,Zagueiro,7.35,4.37,0.46,13
Chrystian Barletta,Sport,Atacante,6.05,3.85,0.21,20
Derik Lacerda,Sport,Atacante,7.07,5.37,-1.43,7
Gonçalo Paciência,Sport,Atacante,5.5,0.58,0.0,4
Ignacio Ramírez,Sport,Atacante,2.38,0.92,0.0,5
Léo Pereira,Sport,Atacante,4.39,3.05,-0.04,11
Micael,Sport,Atacante,1.0,0.0,0.0,0
Pablo,Sport,Atacante,5.48,2.35,-0.34,11
Romarinho,Sport,Atacante,3.57,2.24,-0.01,10
Zé Roberto,Sport,Atacante,6.0,0.0,0.0,0
Adriano,Sport,Goleiro,1.0,0.0,0.0,0
Caíque França,Sport,Goleiro,6.53,3.52,0.0,12
Davi,Sport,Goleiro,2.0,0.0,0.0,0
Gabriel,Sport,Goleiro,5.13,3.98,-0.13,9
Aderlan,Sport,Lateral,5.17,2.6,-0.21,4
Cauã Berrío,Sport,Lateral,1.0,0.0,0.0,0
Felipinho,Sport,Lateral,3.0,0.0,0.0,0
Hereda,Sport,Lateral,5.91,4.79,0.0,11
Igor Cariús,Sport,Lateral,8.06,4.97,0.0,15
Kevyson,Sport,Lateral,1.9,1.07,-0.12,7
Luan Cândido,Sport,Lateral,7.0,0.0,0.0,0
Matheus Alexandre,Sport,Lateral,6.63,3.83,1.72,13
Victor Hugo,Sport,Lateral,1.0,0.0,0.0,0
Adriel,Sport,Meia,1.0,0.0,0.0,0
Atencio,Sport,Meia,3.18,0.91,-0.11,12
Breno,Sport,Meia,2.0,0.0,0.0,0
Dedé,Sport,Meia,1.0,0.0,0.0,0
Gago,Sport,Meia,1.0,0.0,0.0,0
Hyoran,Sport,Meia,3.22,-0.57,0.0,3
Jefinho,Sport,Meia,1.99,2.8,0.0,1
Lucas Kal,Sport,Meia,5.0,0.0,0.0,0
Lucas Lima,Sport,Meia,7.64,4.1,1.6,18
Matheusinho,Sport,Meia,7.74,5.23,0.02,8
Pedro Augusto,Sport,Meia,1.28,0.38,0.0,7
Rivera,Sport,Meia,4.35,2.69,-0.18,18
Sérgio Oliveira,Sport,Meia,8.59,4.6,0.0,8
Zé Lucas,Sport,Meia,5.7,3.36,0.18,17
Daniel Paulista,Sport,Técnico,8.08,4.96,0.42,9
Felype Gabriel,Sport,Zagueiro,1.0,0.0,0.0,0
João Silva,Sport,Zagueiro,4.76,2.71,0.7,11
Lucas Cunha,Sport,Zagueiro,3.6,1.42,0.0,6
Rafael Thyere,Sport,Zagueiro,6.09,3.69,0.0,8
Rafinha,Sport,Zagueiro,1.0,0.0,0.0,0
Ramon Menezes,Sport,Zagueiro,7.74,4.26,0.93,8
Renzo,Sport,Zagueiro,3.0,0.0,0.0,0
Riquelme,Sport,Zagueiro,1.0,0.0,0.0,0
André Silva,São Paulo,Atacante,6.73,4.32,0.0,19
Calleri,São Paulo,Atacante,5.78,-0.77,0.0,3
Dinenno,São Paulo,Atacante,4.58,1.02,-0.1,5
Ferreira,São Paulo,Atacante,8.41,4.71,-0.09,16
Henrique,São Paulo,Atacante,2.15,2.3,-0.67,3
Lucca,São Paulo,Atacante,1.47,1.0,0.0,3
Luciano,São Paulo,Atacante,9.29,5.71,-0.02,18
Paulinho,São Paulo,Atacante,1.0,0.0,0.0,0
Rigoni,São Paulo,Atacante,5.0,0.0,0.0,0
Ryan Francisco,São Paulo,Atacante,3.62,2.69,0.0,7
Tapia,São Paulo,Atacante,5.57,3.0,-1.17,6
João Pedro,São Paulo,Goleiro,1.0,0.0,0.0,0
Leandro,São Paulo,Goleiro,2.0,0.0,0.0,0
Rafael,São Paulo,Goleiro,9.78,4.45,0.24,20
Young,São Paulo,Goleiro,2.04,0.6,0.0,1
Cédric Soares,São Paulo,Lateral,6.84,3.28,-1.05,18
Enzo Díaz,São Paulo,Lateral,10.11,5.82,0.0,18
Maik,São Paulo,Lateral,6.35,9.1,0.0,2
Maílton,São Paulo,Lateral,5.0,0.0,0.0,0
Nicolas,São Paulo,Lateral,1.0,0.0,0.0,0
Patryck,São Paulo,Lateral,5.61,3.43,-0.2,3
Wendell,São Paulo,Lateral,9.1,4.78,-0.5,11
Alisson,São Paulo,Meia,4.64,1.86,0.0,16
Bobadilla,São Paulo,Meia,5.79,4.27,-1.3,17
Felipe Negrucci,São Paulo,Meia,2.0,0.0,0.0,0
Luan Vinícius,São Paulo,Meia,3.72,0.78,0.0,4
Lucas Moura,São Paulo,Meia,7.77,6.45,0.0,2
Luiz Gustavo,São Paulo,Meia,10.73,9.6,0.0,1
Marcos Antônio,São Paulo,Meia,3.8,2.07,0.0,16
Oscar,São Paulo,Meia,11.39,1.67,0.0,6
Pablo Maia,São Paulo,Meia,4.41,1.75,-1.82,13
Pedro Ferreira,São Paulo,Meia,1.0,0.0,0.0,0
Rodriguinho,São Paulo,Meia,2.53,1.97,-0.11,12
Hernán Crespo,São Paulo,Técnico,10.54,7.11,-1.05,10
Alan Franco,São Paulo,Zagueiro,5.73,2.5,-0.59,16
Arboleda,São Paulo,Zagueiro,10.16,5.9,0.0,13
Ferraresi,São Paulo,Zagueiro,9.01,6.78,-1.74,17
Igão,São Paulo,Zagueiro,2.0,0.0,0.0,0
Rafael Tolói,São Paulo,Zagueiro,7.0,0.0,0.0,0
Sabino,São Paulo,Zagueiro,5.79,3.64,-0.34,16
Alex Teixeira,Vasco,Atacante,2.47,0.66,0.0,8
Andrés Gómez,Vasco,Atacante,8.83,4.6,0.0,1
David,Vasco,Atacante,6.41,4.08,-0.08,8
GB,Vasco,Atacante,1.58,0.4,0.0,3
Garré,Vasco,Atacante,1.83,0.02,0.0,8
Loide Augusto,Vasco,Atacante,2.81,0.83,0.0,10
Léo Jacó,Vasco,Atacante,1.45,1.4,0.0,1
Matheus França,Vasco,Atacante,8.55,1.2,-0.45,1
Nuno Moreira,Vasco,Atacante,9.76,5.23,2.12,19
Rayan,Vasco,Atacante,8.06,6.46,-1.93,18
Vegetti,Vasco,Atacante,15.9,7.94,0.13,17
Daniel Fuzato,Vasco,Goleiro,2.04,-0.7,0.0,2
Léo Jardim,Vasco,Goleiro,6.6,2.95,-0.34,18
Pablo,Vasco,Goleiro,1.0,0.0,0.0,0
Phillipe Gabriel,Vasco,Goleiro,1.0,0.0,0.0,0
Avellar,Vasco,Lateral,1.0,0.0,0.0,0
Breno Vereza,Vasco,Lateral,1.0,0.0,0.0,0
Leandrinho,Vasco,Lateral,2.0,0.0,0.0,0
Lucas Piton,Vasco,Lateral,7.74,4.25,0.52,17
Paulo Henrique,Vasco,Lateral,13.13,7.65,0.0,14
Paulo Ricardo,Vasco,Lateral,2.0,0.0,0.0,0
Puma Rodríguez,Vasco,Lateral,6.14,3.88,1.1,10
Victor Luis,Vasco,Lateral,3.34,0.57,0.0,3
Adson,Vasco,Meia,3.01,0.85,0.0,9
Barros,Vasco,Meia,5.61,2.9,1.11,2
Guilherme Estrella,Vasco,Meia,3.0,0.0,0.0,0
Hugo Moura,Vasco,Meia,4.56,2.24,-0.58,18
JP,Vasco,Meia,2.0,0.0,0.0,0
Jair,Vasco,Meia,4.63,2.07,-0.63,10
Jean David,Vasco,Meia,3.0,0.0,0.0,0
Lukas Zuccarello,Vasco,Meia,1.9,0.6,0.0,2
Mateus Carvalho,Vasco,Meia,3.68,1.2,0.1,10
Paulinho,Vasco,Meia,4.3,0.69,0.0,7
Philippe Coutinho,Vasco,Meia,10.74,4.84,1.41,14
Tchê Tchê,Vasco,Meia,3.64,1.48,0.0,16
Thiago Mendes,Vasco,Meia,4.96,0.2,0.0,3
Fernando Diniz,Vasco,Técnico,9.76,5.36,0.35,12
Carlos Cuesta,Vasco,Zagueiro,8.0,0.0,0.0,0
Lucas Freitas,Vasco,Zagueiro,4.14,2.48,-0.4,15
Lucas Oliveira,Vasco,Zagueiro,4.79,2.5,-0.77,2
Mauricio Lemos,Vasco,Zagueiro,5.2,1.93,0.0,4
Robert Renan,Vasco,Zagueiro,7.0,0.0,0.0,0
Cantalapiedra,Vitória,Atacante,5.78,3.4,0.18,4
Carlinhos,Vitória,Atacante,4.71,2.02,0.14,4
Erick,Vitória,Atacante,7.6,4.82,1.14,16
Fabri,Vitória,Atacante,4.2,2.1,0.59,14
Kauan Vitor,Vitória,Atacante,1.0,0.0,0.0,0
Lucas Braga,Vitória,Atacante,4.71,2.23,0.0,14
Osvaldo,Vitória,Atacante,4.86,2.45,1.22,16
Renato Kayzer,Vitória,Atacante,9.85,5.89,0.22,15
Renzo López,Vitória,Atacante,4.96,1.98,0.0,8
Romarinho,Vitória,Atacante,8.4,5.3,0.0,1
Wendell,Vitória,Atacante,1.83,2.5,0.0,1
Davi Barbosa,Vitória,Goleiro,1.0,0.0,0.0,0
Fintelman,Vitória,Goleiro,2.0,0.0,0.0,0
Lucas Arcanjo,Vitória,Goleiro,8.99,4.68,2.24,21
Thiago Couto,Vitória,Goleiro,3.0,0.0,0.0,0
Claudinho,Vitória,Lateral,4.89,2.14,0.0,12
Jamerson,Vitória,Lateral,7.87,5.15,0.0,12
Maykon,Vitória,Lateral,4.06,3.35,0.0,7
Paulo Roberto,Vitória,Lateral,4.67,9.8,3.67,1
Ramon,Vitória,Lateral,6.36,3.31,0.57,9
Raúl Cáceres,Vitória,Lateral,3.09,2.75,0.0,8
Baralhas,Vitória,Meia,6.57,3.88,-0.67,16
Dudu,Vitória,Meia,2.0,0.0,0.0,0
Edenílson,Vitória,Meia,1.0,0.0,0.0,0
Felipe Cardoso,Vitória,Meia,2.21,0.97,0.0,3
Lucas Lohan,Vitória,Meia,1.0,0.0,0.0,0
Matheuzinho,Vitória,Meia,9.4,4.32,-1.13,14
Pepê,Vitória,Meia,5.71,2.66,0.0,11
Ricardo Ryller,Vitória,Meia,2.69,1.3,0.0,16
Ronald Lopes,Vitória,Meia,3.86,2.71,-0.4,19
Rúben Ismael,Vitória,Meia,4.56,0.0,0.0,1
Rúben Rodrigues,Vitória,Meia,4.53,1.18,0.0,4
Val Soares,Vitória,Meia,3.0,0.0,0.0,0
Wanderson Papaterra,Vitória,Meia,2.0,0.0,0.0,0
Willian Oliveira,Vitória,Meia,4.51,2.77,0.01,10
Rodrigo Chagas,Vitória,Técnico,10.64,8.72,2.54,1
Andrei,Vitória,Zagueiro,1.0,0.0,0.0,0
Bruno Uvini,Vitória,Zagueiro,4.0,0.0,0.0,0
Camutanga,Vitória,Zagueiro,5.67,5.4,1.67,1
Edu,Vitória,Zagueiro,5.36,3.62,0.8,13
Kauan,Vitória,Zagueiro,1.0,0.0,0.0,0
Lucas Halter,Vitória,Zagueiro,4.6,2.78,0.44,20
Neris,Vitória,Zagueiro,2.13,-0.85,0.0,4
Zé Marcos,Vitória,Zagueiro,3.07,1.75,0.0,17
